,Date,Close/Last,Volume,Open,High,Low,daily_return,price_range,daily_volatility,volume_change,gap,nlp_daily_sentiment,stock sentiment
1241,2015/1/2,27.33,212575080,27.85,27.86,26.84,2.899096386,1.02,3.732162459,-44268440,-1.867145422,0,Neutral
1240,2015/1/5,26.56,256843520,27.07,27.16,26.35,-0.037636432,0.81,3.049698795,-5885480,-1.884004433,0.208078396,Negative
1239,2015/1/6,26.57,262729000,26.64,26.86,26.16,-1.37342242,0.7,2.634550245,102795600,-0.262762763,-0.190929819,Negative
1238,2015/1/7,26.94,159933400,26.8,27.05,26.67,-3.682516982,0.38,1.410541945,-76741640,0.52238806,-0.451172298,Neutral
1237,2015/1/8,27.97,236675040,27.31,28.04,27.18,-0.107142857,0.86,3.074722917,22092120,2.416697181,0.575521979,Neutral
1236,2015/1/9,28,214582920,28.17,28.31,27.55,2.526547052,0.76,2.714285714,16298240,-0.603478878,0.091304315,Neutral
1235,2015/1/12,27.31,198284680,28.15,28.16,27.2,-0.907111756,0.96,3.515195899,-69595240,-2.98401421,0.13527649,Negative
1234,2015/1/13,27.56,267879920,27.86,28.2,27.23,0.400728597,0.97,3.519593614,72967160,-1.076812635,-0.05135048,Neutral
1233,2015/1/14,27.45,194912760,27.26,27.62,27.13,2.770497941,0.49,1.785063752,-44321120,0.69699193,0.006396032,Positive
1232,2015/1/15,26.71,239233880,27.5,27.52,26.67,0.79245283,0.85,3.182328716,-74579440,-2.872727273,0,Neutral
1231,2015/1/16,26.5,313813320,26.76,26.9,26.3,-2.501839588,0.6,2.264150943,114844040,-0.971599402,0,Negative
1230,2015/1/20,27.18,198969280,26.96,27.24,26.63,-0.766703176,0.61,2.244297277,5037840,0.816023739,0.313550471,Neutral
1229,2015/1/21,27.39,193931440,27.24,27.77,27.07,-2.526690391,0.7,2.555677254,-20938320,0.550660793,0.356795054,Neutral
1228,2015/1/22,28.1,214869760,27.57,28.12,27.43,-0.530973451,0.69,2.455516014,29189680,1.922379398,0.419075884,Neutral
1227,2015/1/23,28.25,185680080,28.08,28.44,27.88,-0.106082037,0.56,1.982300885,-36149600,0.605413105,0.501979723,Neutral
1226,2015/1/26,28.28,221829680,28.44,28.59,28.2,3.627702455,0.39,1.379066478,-147476880,-0.562587904,0.068141128,Neutral
1225,2015/1/27,27.29,369306560,28.11,28.12,27.26,-5.341657995,0.86,3.151337486,-215430640,-2.917111348,0.165982716,Negative
1224,2015/1/28,28.83,584737200,29.41,29.53,28.83,-3.027245207,0.7,2.428026361,248208680,-1.972118327,0.220419471,Negative
1223,2015/1/29,29.73,336528520,29.08,29.8,28.89,1.502219187,0.91,3.060881265,1941320,2.235213205,0.171680659,Positive
1222,2015/1/30,29.29,334587200,29.6,30,29.21,-1.247471342,0.79,2.697166268,84417440,-1.047297297,0.354072315,Negative
1221,2015/2/2,29.66,250169760,29.51,29.79,29.02,0,0.77,2.596089009,42801440,0.50830227,0,Neutral
1220,2015/2/3,29.66,207368320,29.63,29.77,29.4,-0.769488123,0.37,1.247471342,-72532400,0.101248734,0,Neutral
1219,2015/2/4,29.89,279900720,29.63,30.13,29.58,-0.333444481,0.55,1.840080294,111112280,0.877489031,0.514391536,Neutral
1218,2015/2/5,29.99,168788440,30.01,30.06,29.81,0.874537504,0.25,0.833611204,-5746200,-0.066644452,0.105181027,Neutral
1217,2015/2/6,29.73,174534640,30.01,30.06,29.61,-0.66822586,0.45,1.513622603,22931520,-0.933022326,-0.019212218,Negative
1216,2015/2/9,29.93,151603120,29.64,29.96,29.61,-1.90101606,0.35,1.169395256,-95778440,0.978407557,0,Neutral
1215,2015/2/10,30.51,247381560,30.04,30.54,30.04,-2.274183216,0.5,1.638806949,-45730520,1.564580559,0.17885632,Neutral
1214,2015/2/11,31.22,293112080,30.69,31.23,30.63,-1.265022138,0.6,1.921844971,-4386440,1.726946888,0.031790017,Neutral
1213,2015/2/12,31.62,297498520,31.52,31.87,31.39,-0.472143532,0.48,1.518026565,81675920,0.317258883,-0.033110674,Neutral
1212,2015/2/13,31.77,215822600,31.82,31.82,31.41,-0.594493116,0.41,1.290525653,-36233840,-0.157133878,0,Negative
1211,2015/2/17,31.96,252056440,31.87,32.22,31.73,-0.683654444,0.49,1.533166458,73272520,0.282397239,0.074552824,Neutral
1210,2015/2/18,32.18,178783920,31.91,32.2,31.86,0.218000623,0.34,1.056556868,29602080,0.84612974,-0.243807785,Positive
1209,2015/2/19,32.11,149181840,32.12,32.26,32.08,-0.803212851,0.18,0.56057303,-46331800,-0.03113325,0.539496988,Negative
1208,2015/2/20,32.37,195513640,32.16,32.38,32.01,-2.646616541,0.37,1.143033673,-96843360,0.652985075,0,Neutral
1207,2015/2/23,33.25,292357000,32.51,33.25,32.42,0.63559322,0.83,2.496240602,15919360,2.276222701,0.069428683,Positive
1206,2015/2/24,33.04,276437640,33.24,33.4,32.79,2.608695652,0.61,1.846246973,-21782840,-0.601684717,0.309628271,Neutral
1205,2015/2/25,32.2,298220480,32.89,32.9,32.04,-1.226993865,0.86,2.670807453,-66466840,-2.097902098,0.095103868,Negative
1204,2015/2/26,32.6,364687320,32.2,32.72,31.65,1.494396015,1.07,3.282208589,116961920,1.242236025,0.03752218,Positive
1203,2015/2/27,32.12,247725400,32.5,32.64,32.06,-0.464828014,0.58,1.805728518,55554680,-1.169230769,-0.087544307,Negative
1202,2015/3/2,32.27,192170720,32.31,32.57,32.08,-0.216450216,0.49,1.518438178,41171120,-0.123800681,0.136360789,Negative
1201,2015/3/3,32.34,150999600,32.24,32.38,32.02,0.622277536,0.36,1.113172542,24645680,0.310173697,-0.027666814,Positive
1200,2015/3/4,32.14,126353920,32.28,32.39,32.08,1.708860759,0.31,0.96453018,-99211200,-0.433705081,0.025264931,Neutral
1199,2015/3/5,31.6,225565120,32.15,32.19,31.44,-0.157977883,0.75,2.373417722,-65233600,-1.710730949,0.019345998,Negative
1198,2015/3/6,31.65,290798720,32.1,32.34,31.57,-0.44039006,0.77,2.4328594,-62842240,-1.401869159,0.057519306,Negative
1197,2015/3/9,31.79,353640960,31.99,32.39,31.27,2.120141343,1.12,3.523120478,78759520,-0.625195374,0.010063722,Neutral
1196,2015/3/10,31.13,274881440,31.6,31.81,30.95,1.865183246,0.86,2.762608416,-369320,-1.487341772,-0.022449772,Neutral
1195,2015/3/11,30.56,275250760,31.19,31.19,30.53,-1.767920283,0.66,2.159685864,82317680,-2.019878166,0.707352946,Negative
1194,2015/3/12,31.11,192933080,30.58,31.23,30.41,0.67961165,0.82,2.635808422,-14045600,1.733158927,0.39813972,Positive
1193,2015/3/13,30.9,206978680,31.1,31.35,30.65,-1.088348271,0.7,2.265372168,63713480,-0.643086817,0,Negative
1192,2015/3/16,31.24,143265200,30.97,31.24,30.72,-1.637279597,0.52,1.66453265,-60299720,0.87181143,0.692940472,Neutral
1191,2015/3/17,31.76,203564920,31.48,31.83,31.41,-1.120797011,0.42,1.322418136,-56907760,0.889453621,0,Neutral
1190,2015/3/18,32.12,260472680,31.75,32.29,31.59,0.784436774,0.7,2.179327522,77774600,1.165354331,0,Positive
1189,2015/3/19,31.87,182698080,32.19,32.31,31.85,1.23888183,0.46,1.443363665,-91366640,-0.994097546,-0.125000442,Neutral
1188,2015/3/20,31.48,274064720,32.06,32.1,31.29,-1.006289308,0.81,2.573062262,123674320,-1.809107923,-0.064897178,Negative
1187,2015/3/23,31.8,150390400,31.78,31.96,31.63,0.410483107,0.33,1.037735849,19401600,0.062932662,0.531530782,Positive
1186,2015/3/24,31.67,130988800,31.81,32.01,31.64,2.65802269,0.37,1.168298074,-75033600,-0.440113172,0,Neutral
1185,2015/3/26,31.06,189638440,30.69,31.22,30.65,0.811424862,0.57,1.835157759,31751560,1.205604431,0.091218885,Positive
1184,2015/3/27,30.81,157886880,31.14,31.18,30.73,-2.469135802,0.45,1.460564752,-30013040,-1.05973025,-0.082523918,Negative
1183,2015/3/30,31.59,187899920,31.01,31.6,31,1.542912247,0.6,1.899335233,19822240,1.870364399,0,Positive
1182,2015/3/31,31.11,168077680,31.52,31.62,31.09,0.160978751,0.53,1.703632273,6225120,-1.300761421,0.134124974,Neutral
